start,end,survey_type,survey_id,survey_date,survey_time,survey_version,interviewer,country,community,sex,consent_note,consent_001,gear,gear/hand_line,gear/spear,gear/traps,gear/gill_net,gear/mobile_net,gear/stationary_line,gear/other_gear,gear_other,boat_status,boat_6,boat_length_m,boat_material,boat_motorized,boat_power,tech,tech/smartphone,tech/maps,tech/socialmedia,tech/other_tech,tech/no_tech,tech_other,fish_tech,fish_tech/vhf,fish_tech/fishfinder,fish_tech/survcam,fish_tech/catchapp,fish_tech/vesseltrack,fish_tech/gps,fish_tech/other_fish_tech,fish_tech/no_fish_tech,fish_tech_other,tracking_tech,positive_tracking_tech_one,positive_tracking_tech_two,negative_tracking_tech_one,negative_tracking_tech_two,choice,choice_001,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,package_nopackage,wtp_1,wtp_2,wtp_3,wtp_4,wtr_1,wtr_2,wtr_3,wtr_4,tracking_negative,tracking_positive,vms_design,vms_design/vms_design_a,vms_design/vms_design_b,vms_design/vms_design_c,vms_design/vms_design_d,vms_design/vms_design_e,vms_design/vms_design_f,vms_design/vms_design_g,vms_design/vms_design_h,vms_design/vms_design_i,vms_adoption_text,target_species,target_species_one,target_species_two,target_species_three,fraction_of_catch,fraction_personal,fraction_neighbor,fraction_local_trade,fraction_export,other_fraction,fraction_other,fishing_organization,fishing_org_type,fishing_org_type_other,fishing_org_role,fishing_org_role_other,fishing_org_members,access_target_species,access_target_species_other,restriction,restriction/restriction_gear,restriction/restriction_size,restriction/restriction_season,restriction/restriction_spacial,restriction/restriction_quota,restriction/other_restriction,restriction/restriction_none,restriction_other,enforcement,enforcement/enforcement_community_members,enforcement/enforcement_village_leader,enforcement/enforcement_village_gov,enforcement/enforcement_provincial_gov,enforcement/enforcement_national_gov,enforcement/enforcement_none,enforcement/other_enforcement,enforcement_other,enforcement_interval,enforcement_interval_other,punishment_severity,mpa,fishery_problem,fishery_problem_one,fishery_problem_two,fishery_problem_three,fishery_solution,fishery_solution_one,fishery_solution_two,fishery_solution_three,problem_ranking,rank_one,rank_two,rank_three,rank_four,catch_trends,agree_disagree,opinion_a,opinion_b,opinion_c,opinion_d,opinion_e,opinion_f,opinion_g,opinion_h,opinion_i,level_trust_001,trust_a,trust_b,trust_c,trust_d,trust_e,trust_f,trust_g,trust_h,trust_i,trust_j,trust_k,trust_l,level_satisfaction_001,satisfaction_a,satisfaction_b,satisfaction_c,age,years_fishing,education,education_other,income,income_percent_fishing,income_percent_expenses,photo,last_commends,__version__,_version_,_version__001,_version__002,Comments,_id,_uuid,_submission_time,_validation_status,_index
2019-09-17T09:21:49.353+08:00,2019-09-17T11:07:41.025+08:00,data,,2019-09-17,09:21:00.000+08:00,9,Liva,indonesia,Wakatobi,male,,OK,,,,,,,,,,own,,10,Kayu,yes,no,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,package_chosen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,no,,,,,,no_restrictions,,,,,,,,,,,,,,,,,,,,every_week,,strong,yes,,Cuaca,,,,,,,,,,,,improve_low,,,disagree,,agree_str,agree_str,,,,,,,,,,,,,,,,,,,,,,37,98,edu_primary,,,10,30,,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,37084528,0f07600e-3693-4f31-b37f-eeba9a4de95f,2019-09-17T04:05:41,,1
2019-09-17T15:22:28.025+07:00,2019-09-18T19:32:17.418+07:00,data,,2019-09-17,15:22:00.000+07:00,8,Liva,indonesia,Wakatobi,male,,OK,hand_line,1,0,0,0,0,0,0,Pancing umpan,own,,9,Kayu,yes,no,,,,,,,Hp biasa,gps,0,0,0,0,0,1,0,0,,,,,,,,2,,,,,,,,,,,,,,,,,package_chosen,yes,yes,yes,yes,,,,,Tidak ada,Keselamatan dan pelacakan,vms_design_a vms_design_e vms_design_f,1,0,0,0,1,1,0,0,0,,,Cakalang,Tuna,,,,,100,0,,,no,,,,,,no_restrictions,,restriction_gear restriction_spacial,1,0,0,1,0,0,0,,enforcement_national_gov enforcement_provincial_gov,0,0,0,1,1,0,0,,every_week,,strong,yes,,Rumpon ilegal milk nelayan luar daerah,,,,Ditertibkan penempatan lokasi rumpon,,,,weather,iuu,trash_pollutin,corruption,decline_low,,agree_str,disagree,disagree,agree_str,neutral,neutral,disagree,agree,neutral,,distrust_sw,distrust_sw,trust_sw,trust_sw,trust_sw,neutral,trust_sw,neutral,neutral,trust_sw,trust_sw,neutral,,neutral,neutral,neutral,22,15,edu_primary,,4000000,10,30,1568808793310.jpg,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,37191825,ec716757-61d9-419a-9690-3d4e0b9546ad,2019-09-18T14:44:25,,2
2019-09-17T09:15:00.538+07:00,2019-09-18T19:32:04.885+07:00,data,,2019-09-17,09:15:00.000+07:00,15,Liva,indonesia,Wakatobi,male,,OK,,,,,,,,,Pancing gurita,own,,10,Kayu,yes,no,other_tech,0,0,0,1,0,Handphone biasa,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,1,,,,,,,,,,,,,,,,,package_chosen,yes,yes,yes,yes,,,,,Tidak ada,Tahu posisi track penangkapan ikan dan keselamatan,vms_design_a vms_design_e vms_design_i,1,0,0,0,1,0,0,0,1,Karena untuk mengetahui track jalur penangkapan ikan yang sudah dilakukan untuk penanda,,Sunu hitam,,,,10,,0,90,,,yes,other_fishing_org,Kelompok Nelayan Lokal,partner,,,no_restrictions,,restriction_gear restriction_spacial,1,0,0,1,0,0,0,,enforcement_national_gov enforcement_provincial_gov,0,0,0,1,1,0,0,,every_week,,strong,yes,,Bom,Bius,,,Pengawasan di laut lebih sering supaya ketika ada kasus penangkapan ilegal segera diproses,,,,iuu,weather,trash_pollutin,corruption,decline_low,,agree_str,disagree,disagree,agree,neutral,neutral,agree,agree,agree,,trust_entirely,neutral,trust_sw,trust_sw,trust_sw,neutral,trust_sw,neutral,trust_sw,trust_sw,trust_sw,neutral,,neutral,neutral,neutral,47,19,edu_primary,,4000000,10,15,1568688071289.jpg,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,37191799,37f62334-3209-4392-827f-daa60f91fdba,2019-09-18T14:44:03,,3
2019-09-16T15:46:31.477+07:00,2019-09-18T19:32:24.797+07:00,data,,2019-09-16,15:46:00.000+07:00,13,Liva,indonesia,Wakatobi,male,,OK,,,,,,,,,Pancing tonda,own,,12,Kayu,yes,no,other_tech,0,0,0,1,0,HP biasa,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,1,,,,,,,,,,,,,,,,,package_chosen,yes,no,,,,,,,Tidak ada,Informasi keselamatan dan posisi penangkapan ikan sehingga bisa sebagai acuan penangkapan ikan pada  periode berikutnya,vms_design_a vms_design_e vms_design_g,1,0,0,0,1,0,1,0,0,Karena membantu pelacakan kapal ketika terjadi suatu kendala di laut dan untuk pelacakan lokasi ikan ditangkap,,Sunu merah,Sunu hitam,Kerapu,,20,0,0,80,,,yes,,Kelompok Nelayan Lokal,partner,,14,no_restrictions,,restriction_gear restriction_spacial,1,0,0,1,0,0,0,,enforcement_national_gov enforcement_provincial_gov,0,0,0,1,1,0,0,,once_month,,strong,yes,,Bom ikan,Bius ikan,,,Patroli harus digiatkan,Sosialisasi penangkapan ikan ramah lingkungan,,,iuu,weather,trash_pollutin,corruption,decline_high,,agree_str,disagree,disagree,agree_str,agree,agree,agree_str,agree_str,agree,,trust_entirely,neutral,trust_sw,trust_sw,trust_sw,neutral,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,neutral,,satisfied,neutral,satisfied,44,21,edu_secondary,,4000000,10,30,1568699524962.jpg,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,37190954,434f2e72-1cd3-414e-bf06-8eef0658875e,2019-09-18T14:34:57,,4
2019-09-17T07:33:57.158+07:00,2019-09-18T19:31:59.723+07:00,data,,2019-09-17,07:34:00.000+07:00,11,Liva,indonesia,Wakatobi,male,,OK,hand_line,1,0,0,0,0,0,0,,own,,12,Kayu,yes,no,other_tech,0,0,0,1,0,Handphone biasa,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,1,,,,,,,,,,,,,,,,,package_chosen,yes,yes,yes,no,,,,,Tidak ada,Lebih bisa diperhatikan kondisi penangkapan ikan kita oleh pemerintah,vms_design_a vms_design_e vms_design_g,1,0,0,0,1,0,1,0,0,Untuk keselamatan  dan bisa me list jalur penangkapan ikan,,Gurita,Sunu hitam,Sunu merah,,30,5,,65,,,yes,other_fishing_org,Kelompok Nelayan Lokal,director,,30,no_restrictions,,restriction_gear restriction_spacial,1,0,0,1,0,0,0,,enforcement_national_gov enforcement_provincial_gov,0,0,0,1,1,0,0,,few_year,,strong,yes,,Bius ikan,Bom ikan,,,Giat melalukan pengawasan di laut,Sosialisasi ke nelayan,,,weather,iuu,trash_pollutin,corruption,decline_low,,agree_str,disagree,agree,agree,neutral,neutral,agree_str,agree_str,agree_str,,trust_entirely,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,trust_sw,,satisfied,neutral,satisfied,47,20,edu_secondary,,4500000,10,30,1568682527950.jpg,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,37191062,4dbf7dc2-a2ff-4acc-9166-558d1bf14a81,2019-09-18T14:36:24,,5
2019-09-17T15:48:23.120+07:00,2019-09-18T19:32:09.369+07:00,data,,2019-09-17,15:48:00.000+07:00,4,Liva,indonesia,Wakatobi,male,,OK,hand_line,1,0,0,0,0,0,0,,own,,9,Kayu,yes,no,other_tech,0,0,0,1,0,Hp biasa,gps,0,0,0,0,0,1,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,package_chosen,yes,yes,yes,yes,,,,,Tidak ada,Keselamatan nelayan jika terjadi mesin kapal mati,vms_design_a vms_design_e vms_design_f,1,0,0,0,1,1,0,0,0,,,Tuna,,,,15,5,,80,,,no,,,,,,no_restrictions,,restriction_gear restriction_spacial,1,0,0,1,0,0,0,,enforcement_none,0,0,0,0,0,1,0,,never,,strong,yes,,Rumpon dari nelayan luar,Cuaca ekstrim,,,Diatur posisi rumpon,,,,iuu,weather,trash_pollutin,corruption,decline_low,,agree_str,disagree_str,disagree,agree_str,neutral,neutral,agree,agree,neutral,,trust_sw,neutral,trust_sw,trust_sw,trust_entirely,neutral,trust_sw,trust_sw,trust_sw,trust_entirely,trust_entirely,distrust_entirely,,neutral,neutral,neutral,34,19,edu_primary,,5,10,30,1568809059422.jpg,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,37191860,712b0d27-d17a-44c7-899a-a394c91e7032,2019-09-18T14:44:52,,6
2019-10-03T15:01:37.990+07:00,2019-10-03T15:14:55.197+07:00,data,,2019-10-03,15:01:00.000+07:00,15,wildan,indonesia,tablasupa,male,,OK,hand_line spear,1,1,0,0,0,0,0,,own,,6,kayu,yes,no,smartphone,1,0,0,0,0,,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,2,,,,,,,,,,,,,,,,,package_chosen,yes,yes,yes,no,,,,,belum tahu cara menggunakan ,,vms_design_d vms_design_f vms_design_i,0,0,0,1,0,1,0,0,1,agar tahu saya menangkap di mana,,lemuru,kakap,tenggiri,,10,5,85,,,,yes,,kelpmpok nelayan,partner,,15,permit,,restriction_none,0,0,0,0,0,0,1,,enforcement_community_members enforcement_provincial_gov,1,0,0,1,0,0,0,,every_week,,strong,no,,angin,,,,minggir dulu sampai cuaca tenang,,,,weather,iuu,trash_pollutin,corruption,decline_low,,agree_str,agree,disagree_str,agree_str,agree,disagree,agree,agree,neutral,,trust_entirely,trust_sw,trust_sw,neutral,trust_sw,neutral,neutral,neutral,neutral,neutral,neutral,neutral,,neutral,satisfied,neutral,51,30,edu_secondary,,3000000,9,55,1570090489084.jpg,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,38139377,9532481e-13bd-4129-9ee9-38bb68b3b14d,2019-10-03T18:01:21,,7
2019-10-02T16:06:26.720+07:00,2019-10-02T16:27:16.592+07:00,data,,2019-10-02,16:06:00.000+07:00,14,wildan,indonesia,Kampung Tablanusu,male,,OK,hand_line,1,0,0,0,0,0,0,,own,,6,kayu,no,no,smartphone,1,0,0,0,0,,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,2,,,,,,,,,,,,,,,,,package_chosen,yes,yes,no,,,,,,alatnya terlalu mahal,,vms_design_a vms_design_f vms_design_h vms_design_c,1,0,1,0,0,1,0,1,0,ingin meningkatkan kualitas tangkapan,,cakalang,ikan salam,guropa,,10,,90,,,,yes,other_fishing_org,kelompok nelayan,partner,,200,neighbor,,restriction_none,0,0,0,0,0,0,1,,enforcement_provincial_gov,0,0,0,1,0,0,0,,few_year,,weak,no,,angin,gelombang,musim ombak,,pulang dulu,menepi ke daratan,menjadwalkan,,iuu,weather,trash_pollutin,corruption,decline_low,,agree,agree,disagree,disagree,neutral,disagree_str,disagree,agree,disagree_str,,trust_entirely,neutral,trust_entirely,neutral,neutral,neutral,neutral,trust_sw,trust_sw,distrust_sw,distrust_sw,neutral,,neutral,satisfied,neutral,55,35,edu_primary,,5000000,7,45,1570008425619.jpg,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,38077993,7da0a740-d12d-4888-b854-f67ac43eb45d,2019-10-02T20:29:44,,8
2019-10-02T16:59:50.091+07:00,2019-10-02T17:20:26.114+07:00,data,,2019-10-02,17:00:00.000+07:00,16,wildan,indonesia,kendate,male,,OK,hand_line,1,0,0,0,0,0,0,,own,,11,kayu,yes,no,no_tech,0,0,0,0,1,,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,2,,,,,,,,,,,,,,,,,package_chosen,yes,yes,yes,yes,,,,,alatnya belum terjangkau,,vms_design_f vms_design_e vms_design_i,0,0,0,0,1,1,0,0,1,agar aman,,yellow fin Tuna,skipjack,ikan layar,,5,5,90,,,,yes,,kelompok nelayan,director,,10,no_restrictions,,restriction_gear,1,0,0,0,0,0,0,,enforcement_community_members enforcement_village_leader enforcement_village_gov,1,1,1,0,0,0,0,,every_week,,weak,no,,masalah bekal dan kecukupan bensin,mesin rusak,angin,,training,,menepi dulu,,weather,iuu,trash_pollutin,corruption,improve_high,,agree,agree,agree,disagree_str,neutral,neutral,agree,neutral,disagree_str,,trust_sw,trust_sw,trust_sw,trust_sw,neutral,neutral,neutral,neutral,trust_sw,neutral,neutral,neutral,,neutral,satisfied,neutral,47,32,edu_secondary,,4000000,8,40,,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,38077997,63c4734c-a87b-4741-8081-92d46ae64c02,2019-10-02T20:29:47,,9
2019-10-03T10:06:04.223+07:00,2019-10-03T12:43:15.758+07:00,data,hi,2019-10-03,10:06:00.000+07:00,13,wildan,indonesia,depapre,male,,OK,hand_line,1,0,0,0,0,0,0,,own,,10,kayu,yes,no,no_tech,0,0,0,0,1,,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,2,,,,,,,,,,,,,,,,,package_chosen,yes,yes,yes,yes,,,,,alatnya terlalu mahal,,vms_design_a vms_design_d vms_design_e,1,0,0,1,1,0,0,0,0,membantu nelayan untuk lokasi,,lemuru,kakap ,bobara,,10,10,80,,,,no,,,,,,community_memb,,restriction_spacial restriction_gear,1,0,0,1,0,0,0,,enforcement_community_members enforcement_provincial_gov,1,0,0,1,0,0,0,,every_week,,moderate,yes,,angin saja,,,,menunggu dulu di pantai,,,,weather,iuu,corruption,trash_pollutin,improve_high,,agree,agree,agree,disagree_str,disagree,disagree_str,neutral,agree,agree,,neutral,trust_sw,neutral,trust_sw,trust_sw,neutral,neutral,neutral,neutral,trust_sw,trust_sw,trust_sw,,neutral,satisfied,satisfied,55,40,edu_secondary,,5000000,6,35,,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,38113951,52c0dcc1-f815-4dab-af4d-2ec0b844cbce,2019-10-03T12:19:31,,10
2019-10-03T12:43:57.901+07:00,2019-10-03T12:59:01.985+07:00,data,,2019-10-03,12:44:00.000+07:00,11,wildan,indonesia,entiyebo,male,,OK,hand_line,1,0,0,0,0,0,0,,share_collective,,6,kayu,yes,no,no_tech,0,0,0,0,1,,no_fish_tech,0,0,0,0,0,0,0,1,,,,,,,,1,,,,,,,,,,,,,,,,,package_chosen,yes,no,,,,,,,paket perbulannya memberatkan,,vms_design_g vms_design_h vms_design_i,0,0,0,0,0,0,1,1,1,bagus utk membantu posisi  nelayan,,cakalang,momar,tenggiri,,10,5,85,,0,,yes,,kelpmpok nelayan,director,,10,community_memb,,restriction_spacial,0,0,0,1,0,0,0,,enforcement_community_members enforcement_provincial_gov,1,0,0,1,0,0,0,,every_week,,weak,yes,,gelombang tinggi,,,,tidak melaut dulu,,,,weather,trash_pollutin,corruption,iuu,improve_low,,agree,agree,agree,disagree_str,disagree,disagree,agree,agree,agree,,trust_entirely,trust_sw,trust_sw,trust_sw,trust_sw,neutral,neutral,neutral,trust_sw,trust_sw,trust_sw,trust_sw,,neutral,satisfied,satisfied,66,36,edu_secondary,,3000000,8,45,,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,38113953,6da829b4-e110-4540-bfc6-74c273ccf0e8,2019-10-03T12:19:32,,11
2019-10-03T13:09:44.286+07:00,2019-10-03T13:21:10.324+07:00,data,,2019-10-03,13:09:00.000+07:00,9,wildan,,Tablanusu,male,,OK,hand_line,1,0,0,0,0,0,0,,own,,11,fiber,yes,no,socialmedia smartphone,1,0,1,0,0,,gps,0,0,0,0,0,1,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,package_chosen,yes,yes,no,,,,,,alatnya susah didapat,,vms_design_c vms_design_f vms_design_g,0,0,1,0,0,1,1,0,0,,,tuna,,,,10,,90,,,,yes,cooperative,,partner,,150,other_access_target_species,hanya nelayan kecil saja,restriction_none,0,0,0,0,0,0,1,,enforcement_none,0,0,0,0,0,1,0,,never,,moderate,no,,pemasaran tuna,,,,dapat pasar yg mudah ,,,,iuu,corruption,weather,trash_pollutin,no_change,,agree,neutral,agree,neutral,agree_str,disagree_str,agree,agree,neutral,,trust_sw,trust_sw,trust_sw,neutral,neutral,neutral,neutral,neutral,trust_sw,trust_sw,trust_sw,trust_sw,,neutral,satisfied,satisfied,58,40,edu_secondary,,2000000,9,55,,,vJ2agB4i7YYXnaN4q6zbUZ,vKStYiFT3ffiicQJf824bY,vMY5Ym7jCMT8hBHaErkoCS,,,38113955,ebb6f32f-bb61-417e-8dc9-8083fce6fe18,2019-10-03T12:19:33,,12
